method,computed_steps,mean_rmsd_vs_gt,std_rmsd_vs_gt,mean_tm_score,std_tm_score,mean_time,threshold
uniform,12,23.75467205743774,3.991806216475312,0.057963294676939954,0.023632251859901438,0.2688458283742269,
uniform,15,20.41998602677181,4.3881414417058,0.07730828997173547,0.02695819223233483,0.3174597891171773,
uniform,16,19.706031529696194,4.490169042860736,0.0821246513232718,0.027313462795529975,0.3352749586105347,
uniform,24,17.036972150798583,4.738848718148022,0.1008524368889392,0.02790942931155511,0.5103460454940796,
uniform,36,16.12551073263951,4.944357812872012,0.10516555005899178,0.027855964190553178,0.7391167855262757,
uniform,59,16.116172458422508,4.9406380430277395,0.10381158488011943,0.0259966354529434,1.1547332485516866,
uniform,100,16.121661956531174,4.901444785334565,0.10347594411040954,0.02581490639814887,1.9028612399101257,
uniform,171,16.11999654341641,4.91426662119984,0.10360104255502912,0.025392894417967632,3.268600273132324,
uniform,250,16.125260792396016,4.922414246618842,0.103503293300076,0.025476311520780656,4.982072947025299,
adaptive,500,,,,,,0.0
adaptive,179,,,,,,0.01
adaptive,59,,,,,,0.05
adaptive,35,,,,,,0.1
adaptive,23,,,,,,0.2
adaptive,16,,,,,,0.4
adaptive,14,,,,,,0.5
adaptive,12,,,,,,1.0
